Name,Code,Meang
ACCIDENT_TYPE,0,HAIL DAMAGE TO AIRCRAFT
ACCIDENT_TYPE,1,LIGHTNING STRIKE
ACCIDENT_TYPE,2,EVASIVE MANEUVER
ACCIDENT_TYPE,3,UNCONTROLLED ALTITUDE DEVIATIONS
ACCIDENT_TYPE,4,DITCHING
ACCIDENT_TYPE,5,"MISSING AIRCRAFT,NOT RECOVERED"
ACCIDENT_TYPE,6,MISCELLANEOUS
ACCIDENT_TYPE,7,UNDETERMINED
ACCIDENT_TYPE,A,GROUND-WATER LOOP-SWERVE
ACCIDENT_TYPE,B,"DRAGGED WINGTIP,POD,OR FLOAT"
ACCIDENT_TYPE,C,WHEELS-UP
ACCIDENT_TYPE,D,WHEELS-DOWN LANDING IN WATER
ACCIDENT_TYPE,E,GEAR COLLAPSED
ACCIDENT_TYPE,F,GEAR RETRACTED
ACCIDENT_TYPE,G,HARD LANDING
ACCIDENT_TYPE,H,NOSE OVER/DOWN
ACCIDENT_TYPE,I,ROLL OVER
ACCIDENT_TYPE,J,OVERSHOOT
ACCIDENT_TYPE,K,UNDERSHOOT
ACCIDENT_TYPE,L,COLLISION WITH AIRCRAFT
ACCIDENT_TYPE,L0,COLLISION WITH AIRCRAFT - BOTH IN FLIGHT
ACCIDENT_TYPE,L1,COLLISION WITH AIRCRAFT - ONE AIRBORNE
ACCIDENT_TYPE,L2,COLLISION WITH AIRCRAFT - BOTH ON GROUND
ACCIDENT_TYPE,M,COLLISION WITH GROUND/WATER
ACCIDENT_TYPE,M0,CONTROLLED COLLISION WITH GROUND/WATER
ACCIDENT_TYPE,M1,UNCONTROLLED COLLISION WITH GROUND/WATER
ACCIDENT_TYPE,N,COLLIDED WITH UNSPECIFIED OBJECT
ACCIDENT_TYPE,N0,COLLIDED WITH WIRES/POLES
ACCIDENT_TYPE,N1,COLLIDED WITH TREES
ACCIDENT_TYPE,N2,COLLIDED WITH RESIDENCE(S)
ACCIDENT_TYPE,N3,COLLIDED WITH BUILDING(S)
ACCIDENT_TYPE,N4,"COLLIDED WITH FENCE,FENCEPOSTS"
ACCIDENT_TYPE,N5,COLLIDED WITH ELECTRONIC TOWERS
ACCIDENT_TYPE,N6,COLLIDED WITH RUNWAY OR APPROACH LIGHTS
ACCIDENT_TYPE,N7,COLLIDED WITH AIRPORT HAZARD
ACCIDENT_TYPE,N8,COLLIDED WITH ANIMALS
ACCIDENT_TYPE,N9,COLLIDED WITH CROP
ACCIDENT_TYPE,NA,"COLLIDED WITH FLAGMAN,LOADER"
ACCIDENT_TYPE,NB,COLLIDED WITH DITCHES
ACCIDENT_TYPE,NC,COLLIDED WITH SNOWBANK
ACCIDENT_TYPE,ND,COLLIDED WITH PARKED AIRCRAFT
ACCIDENT_TYPE,NE,COLLIDED WITH AUTOMOBILE
ACCIDENT_TYPE,NF,COLLIDED WITH DIRT BANK
ACCIDENT_TYPE,NY,COLLIDED WITH OBJECT
ACCIDENT_TYPE,P,BIRD STRIKE
ACCIDENT_TYPE,Q,STALL
ACCIDENT_TYPE,Q1,STALL/SPIN
ACCIDENT_TYPE,Q2,STALL/SPIRAL
ACCIDENT_TYPE,Q3,STALL/MUSH
ACCIDENT_TYPE,R,FIRE OR EXPLOSION
ACCIDENT_TYPE,R0,FIRE OR EXPLOSION IN FLIGHT
ACCIDENT_TYPE,R1,FIRE OR EXPLOSION ON GROUND
ACCIDENT_TYPE,S,AIRFRAME FAILURE
ACCIDENT_TYPE,S0,AIRFRAME FAILURE IN FLIGHT
ACCIDENT_TYPE,S1,AIRFRAME FAILURE ON GROUND
ACCIDENT_TYPE,T,ENGINE TEARAWAY
ACCIDENT_TYPE,U,ENGINE FAILURE OR MALFUNCTION
ACCIDENT_TYPE,V,PROPELLER/ROTOR FAILURE
ACCIDENT_TYPE,V1,PROPELLER FAILURE
ACCIDENT_TYPE,V2,TAIL ROTOR FAILURE
ACCIDENT_TYPE,V3,MAIN ROTOR FAILURE
ACCIDENT_TYPE,W,PROPELLER/ROTOR ACCIDENT TO PERSON
ACCIDENT_TYPE,X,JET INTAKE/EXHAUST ACCIDENT TO PERSON
ACCIDENT_TYPE,Y,PROPELLER/JET/ROTOR BLAST
ACCIDENT_TYPE,Z,TURBULENCE
CAUSE_FACTOR,64,PILOT IN COMMAND
CAUSE_FACTOR,6401,ATTEMPTED OPERATION W/KNOWN DEFICIENCIES IN EQUIPMENT
CAUSE_FACTOR,6402,ATTEMPTED OPERATION BEYOND EXPERIENCE/ABILITY LEVEL
CAUSE_FACTOR,6403,BECAME LOST/DISORIENTED
CAUSE_FACTOR,6404,CONTINUED VFR FLIGHT INTO ADVERSE WEATHER CONDITIONS
CAUSE_FACTOR,6405,CONTINUED FLIGHT INTO KNOWN AREAS OF SEVERE TURBULENCE
CAUSE_FACTOR,6406,DELAYED ACTION IN ABORTING TAKEOFF
CAUSE_FACTOR,6407,DELAYED IN INITIATING GO-AROUND
CAUSE_FACTOR,6408,DIVERTED ATTENTION FROM OPERATION OF AIRCRAFT
CAUSE_FACTOR,6409,EXCEEDED DESIGNED STRESS LIMITS OF AIRCRAFT
CAUSE_FACTOR,6410,FAILED TO EXTEND LANDING GEAR
CAUSE_FACTOR,6411,FAILED TO RETRACT LANDING GEAR
CAUSE_FACTOR,6412,RETRACTED GEAR PREMATURELY
CAUSE_FACTOR,6413,INADVERTENTLY RETRACTED GEAR
CAUSE_FACTOR,6414,FAILED TO SEE AND AVOID OTHER AIRCRAFT
CAUSE_FACTOR,6415,FAILED TO SEE AND AVOID OBJECTS OR OBSTRUCTIONS
CAUSE_FACTOR,6416,FAILED TO OBTAIN/MAINTAIN FLYING SPEED
CAUSE_FACTOR,6417,"MISJUDGED DISTANCE,SPEED,ALTITUDE OR CLEARANCE"
CAUSE_FACTOR,6418,FAILED TO MAINTAIN ADEQUATE ROTOR R.P.M.
CAUSE_FACTOR,6419,FAILED TO USE OR INCORRECTLY USED MISC.EQUIPMENT
CAUSE_FACTOR,6420,"FAILED TO FOLLOW APPROVED PROCEDURES,DIRECTIVES,ETC."
